project_number,project_type,project_description,last_reviewed,project_location_clean,Coordinates_lat_lon
OG 25-038,Commercial,Sign - Canal House,2024-11-21T12:00:00Z,1023-1029 31st street nw,"(38.9032644, -77.060821)"
OG 25-037,Georgetown,Shaw Field lights,2024-11-21T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 25-036,Residence,Egress window well on west elevation,2024-11-21T12:00:00Z,3321 q street nw,"(38.9108942, -77.06688820187202)"
OG 25-034,Residence,Shutter and door replacements,2024-11-21T12:00:00Z,3306 o street nw,"(38.907624049999995, -77.06655487369912)"
OG 25-033,Residential,Landscape alterations and stair revision,2024-11-21T12:00:00Z,3114 r street nw,"(38.91330825, -77.0637584339222)"
OG 25-032,Residence,"Replace stair treads, risers, land and railing and install window railings",2024-11-21T12:00:00Z,3017 o street nw,"(38.90876075, -77.05989343179314)"
OG 25-030,Residential,Front stone stoop repair and replacement,2024-11-21T12:00:00Z,2819 p street nw,"(38.9095261, -77.05799422332733)"
OG 25-029,Residence,"Underpin, renovation, and new exterior stair",2024-11-21T12:00:00Z,2819 p street nw,"(38.9095261, -77.05799422332733)"
OG 25-025,Residential,"Demo and reconfigure entry stairs, walls, and planters at side yard; install new gate",2024-11-21T12:00:00Z,1312 30th street nw,"(38.90729545, -77.05940031827429)"
OG 25-024,Residential,Front stoop and areaway expansion and railing and door replacement,2024-11-21T12:00:00Z,1217 29th street nw,"(38.905746, -77.05791314966635)"
OG 25-023,Commercial,Rooftop addition and renovation,2024-11-21T12:00:00Z,1048 29th street nw,"(38.90381205, -77.0583905250254)"
OG 25-021,Commercial,Add new shutters,2024-11-21T12:00:00Z,1029 31st street nw,"(38.90344345, -77.06095608472674)"
OG 25-020,Commercial,Construction of a six-story mixed-use building,2024-11-21T12:00:00Z,3000 m street nw,"(38.90505165, -77.0594734877022)"
OG 25-019,Residence,Installation of rooftop solar panels,2024-11-21T12:00:00Z,3335 reservoir road nw,"(38.9128563, -77.06719455254503)"
OG 25-017,Residence,Roof replacement,2024-11-21T12:00:00Z,3252 o street nw,"(38.907673, -77.0655771)"
OG 25-016,Commercial,Signage - Tilley's,2024-11-21T12:00:00Z,3216 o street nw,"(38.9075577, -77.06419369173078)"
OG 25-015,Residence,Rooftop solar panels,2024-11-21T12:00:00Z,3122 n street nw,"(38.9066622, -77.062148)"
OG 25-013,Residential,Replace two patio doors on rear elevation,2024-11-21T12:00:00Z,3048 n street nw,"(38.906674800000005, -77.0610026203689)"
OG 25-012,Residence,Rear aluminum-clad wood casement window and screen replacement,2024-11-21T12:00:00Z,3029 dent place nw,"(38.912062399999996, -77.06042877641723)"
OG 25-008,Residence,Rooftop solar panels,2024-11-21T12:00:00Z,2801 dumbarton street nw,"(38.9078127, -77.05722379065918)"
OG 25-005,Residence,Window replacement,2024-11-21T12:00:00Z,1613 35th street nw,"(38.91114195, -77.06891994957194)"
OG 25-003,Residence,Construction of accessory structure in rear yard,2024-11-21T12:00:00Z,1423 36th street nw,"(38.908389549999995, -77.07020177195926)"
OG 25-002,Commercial,Signage - Huckberry,2024-11-21T12:00:00Z,1239 wisconsin avenue nw,"(38.9060889, -77.0625797)"
OG 24-361,Commercial,"New storefront, signage, entrances, and painting; roof terrace alterations",2024-11-21T12:00:00Z,3233-3235 m street nw,"(38.905318699999995, -77.06392412710491)"
OG 24-354,Residence,Replace existing shutters and shutter dogs; new rooftop condensers,2024-11-21T12:00:00Z,2812 n street nw,"(38.9067268, -77.05769467075656)"
OG 24-348,Commercial,Repaint; replace window and enlarge opening; other facade alterations,2024-11-21T12:00:00Z,1815 wisconsin avenue nw,"(38.9152228, -77.0673054)"
OG 24-342,Commercial,Signage - Canal House,2024-11-21T12:00:00Z,1023-29 31st street nw,"(38.9032644, -77.060821)"
OG 24-340,Residence,Fence,2024-11-21T12:00:00Z,2709 o street nw,"(38.9086499, -77.05617907200704)"
OG 24-337,Commercial,"New gate, fenestration alterations, sign",2024-11-21T12:00:00Z,1220-1236 31st street nw,"(38.90552744259899, -77.06128895256799)"
OG 24-303,Commercial,Signage - CVS,2024-11-21T12:00:00Z,1403 wisconsin avenue nw,"(38.90864275, -77.06366099721659)"
OG 24-293,Residence,"Third story addition, renovation, landscape alterations",2024-11-21T12:00:00Z,3246 s street nw,"(38.91445915, -77.06574500536293)"
OG 24-288,Georgetown,Campus building signage and wayfinding,2024-11-21T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 24-255,Residence,New accessory structure with living space and garages,2024-11-21T12:00:00Z,3306 o street nw,"(38.907624049999995, -77.06655487369912)"
OG 24-240,Residence,Rear addition,2024-11-21T12:00:00Z,2728 o street nw,"(38.90842175, -77.05683147343856)"
OG 25-038,Commercial,Signage,2024-11-07T12:00:00Z,1023-1029 31st street nw,"(38.9032644, -77.060821)"
OG 25-037,Georgetown,Shaw Field lights,2024-11-07T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 25-036,Residence,Egress window well on west elevation,2024-11-07T12:00:00Z,3321 q street nw,"(38.9108942, -77.06688820187202)"
OG 25-035,Residence,Rear addition and renovation,2024-11-07T12:00:00Z,3315 p street nw,"(38.90895075, -77.06658030345653)"
OG 25-034,Residence,Shutter and door replacements,2024-11-07T12:00:00Z,3306 o street nw,"(38.907624049999995, -77.06655487369912)"
OG 25-033,Residential,Landscape alterations and stair revision,2024-11-07T12:00:00Z,3114 r street nw,"(38.91330825, -77.0637584339222)"
OG 25-032,Residence,"Replace stair treads, risers, land and railing and install window railings",2024-11-07T12:00:00Z,3017 o street nw,"(38.90876075, -77.05989343179314)"
OG 25-031,Residence,Rear addition and renovation,2024-11-07T12:00:00Z,2915-2917 dumbarton street nw,"(38.907811, -77.0587377)"
OG 25-030,Residential,Front stone stoop repair and replacement,2024-11-07T12:00:00Z,2819 p street nw,"(38.9095261, -77.05799422332733)"
OG 25-029,Residence,"Underpin, renovation, and new exterior stair",2024-11-07T12:00:00Z,2819 p street nw,"(38.9095261, -77.05799422332733)"
OG 25-027,Commercial,Signage - The Lobby,2024-11-07T12:00:00Z,1660 33rd street nw,"(38.91235315, -77.06630350859572)"
OG 25-026,Residence,Rear one-story addition,2024-11-07T12:00:00Z,1559 33rd street nw,"(38.9103396, -77.06592891405889)"
OG 25-025,Residential,"Demo and reconfigure entry stairs, walls, and planters at side yard; install new gate",2024-11-07T12:00:00Z,1312 30th street nw,"(38.90729545, -77.05940031827429)"
OG 25-024,Residential,Front stoop and areaway expansion and railing and door replacement,2024-11-07T12:00:00Z,1217 29th street nw,"(38.905746, -77.05791314966635)"
OG 25-023,Commercial,Rooftop addition and renovation,2024-11-07T12:00:00Z,1048 29th street nw,"(38.90381205, -77.0583905250254)"
OG 25-022,Residence,Rear addition and fencing,2024-11-07T12:00:00Z,1032 1034 & 1036 33rd street nw,"(38.905961900065336, -77.0660916399037)"
OG 25-021,Commercial,Add new shutters,2024-11-07T12:00:00Z,1029 31st street nw,"(38.90344345, -77.06095608472674)"
OG 25-020,Commercial,Construction of a six-story mixed-use building,2024-11-07T12:00:00Z,3000 m street nw,"(38.90505165, -77.0594734877022)"
OG 25-019,Residence,Installation of rooftop solar panels,2024-11-07T12:00:00Z,3335 reservoir road nw,"(38.9128563, -77.06719455254503)"
OG 25-018,Commercial,Storefront alterations,2024-11-07T12:00:00Z,3299 m street nw,"(38.9053022, -77.06596022877156)"
OG 25-017,Residence,Roof replacement,2024-11-07T12:00:00Z,3252 o street nw,"(38.907673, -77.0655771)"
OG 25-016,Commercial,Signage - Tilley's,2024-11-07T12:00:00Z,3216 o street nw,"(38.9075577, -77.06419369173078)"
OG 25-015,Residence,Rooftop solar panels,2024-11-07T12:00:00Z,3122 n street nw,"(38.9066622, -77.062148)"
OG 25-014,Commercial,Signage - Kiehl's,2024-11-07T12:00:00Z,3110 m street nw,"(38.9049864, -77.0616142)"
OG 25-013,Residential,Replace two patio doors on rear elevation,2024-11-07T12:00:00Z,3048 n street nw,"(38.906674800000005, -77.0610026203689)"
OG 25-012,Residence,Rear aluminum-clad wood casement window and screen replacement,2024-11-07T12:00:00Z,3029 dent place nw,"(38.912062399999996, -77.06042877641723)"
OG 25-011,Institution,Oak Hill Cemetery Gatehouse landscape alterations,2024-11-07T12:00:00Z,3001 r street nw,"(38.9126749, -77.05945571129129)"
OG 25-008,Residence,Rooftop solar panels,2024-11-07T12:00:00Z,2801 dumbarton street nw,"(38.9078127, -77.05722379065918)"
OG 25-006,Private,"Install security cameras and bars over some windows, replace front door",2024-11-07T12:00:00Z,1680 wisconsin ave nw,"(38.9129636, -77.06657207855943)"
OG 25-005,Residence,Window replacement,2024-11-07T12:00:00Z,1613 35th street nw,"(38.91114195, -77.06891994957194)"
OG 25-003,Residence,Construction of accessory structure in rear yard,2024-11-07T12:00:00Z,1423 36th street nw,"(38.908389549999995, -77.07020177195926)"
OG 25-002,Commercial,Signage - Huckberry,2024-11-07T12:00:00Z,1239 wisconsin avenue nw,"(38.9060889, -77.0625797)"
OG 24-365,Residence,Remove rear porch and replace with two-story addition; remove and replace fence segment,2024-11-07T12:00:00Z,3326 n street nw,"(38.90663055, -77.06716490823086)"
OG 24-361,Commercial,"New storefront, signage, entrances, and painting; roof terrace alterations",2024-11-07T12:00:00Z,3233-3235 m street nw,"(38.905318699999995, -77.06392412710491)"
OG 24-355,Residence,Convert cellar into apartment unit with projections into public space,2024-11-07T12:00:00Z,2900-2902 dumbarton street nw,"(38.9075773, -77.0583993)"
OG 24-354,Residence,Replace existing shutters and shutter dogs; new rooftop condensers,2024-11-07T12:00:00Z,2812 n street nw,"(38.9067268, -77.05769467075656)"
OG 24-348,Commercial,Repaint; replace window and enlarge opening; other facade alterations,2024-11-07T12:00:00Z,1815 wisconsin avenue nw,"(38.9152228, -77.0673054)"
OG 24-342,Commercial,Signage - Canal House,2024-11-07T12:00:00Z,1023-29 31st street nw,"(38.9032644, -77.060821)"
OG 24-340,Residence,Fence,2024-11-07T12:00:00Z,2709 o street nw,"(38.9086499, -77.05617907200704)"
OG 24-303,Commercial,Signage - CVS,2024-11-07T12:00:00Z,1403 wisconsin avenue nw,"(38.90864275, -77.06366099721659)"
OG 24-293,Residence,"Third story addition, renovation, landscape alterations",2024-11-07T12:00:00Z,3246 s street nw,"(38.91445915, -77.06574500536293)"
OG 24-288,Georgetown,Campus building signage and wayfinding,2024-11-07T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 24-264,Commercial,Window and door replacement,2024-11-07T12:00:00Z,1077 31st street nw,"(38.905004399999996, -77.06102594611365)"
OG 24-255,Residence,New accessory structure with living space and garages,2024-11-07T12:00:00Z,3306 o street nw,"(38.907624049999995, -77.06655487369912)"
OG 24-240,Residence,Rear addition,2024-11-07T12:00:00Z,2728 o street nw,"(38.90842175, -77.05683147343856)"
OG 24-337,Commercial,"New gate, fenestration alterations, signage",2024-11-07T12:00:00Z,1220-1236 31st street nw,"(38.90552744259899, -77.06128895256799)"
OG 24-370,Residence,Stoop repair/replacement,2024-10-17T12:00:00Z,3068 q street nw,"(38.9102886, -77.06155096774611)"
OG 24-369,MedStar,Free-standing signs,2024-10-17T12:00:00Z,3800 reservoir road nw,"(38.9111463, -77.07534615326537)"
OG 24-368,Residence,Window replacement,2024-10-17T12:00:00Z,3551 winfield lane nw,"(38.91217245, -77.07035183895397)"
OG 24-367,Commercial,Revision to previously approved permit for alterations to entrance and signage - Onare,2024-10-17T12:00:00Z,3340 cady's alley nw,"(38.9045622, -77.0672005)"
OG 24-366,Residence,Window and door replacement; repointing,2024-10-17T12:00:00Z,3334 p street nw,"(38.908628199999995, -77.06728939764389)"
OG 24-364,Residence,Addition,2024-10-17T12:00:00Z,3306 r street nw,"(38.9134969, -77.06709888044693)"
OG 24-363,Commercial,Signage - Billy Hicks,2024-10-17T12:00:00Z,3277 m street nw,"(38.9052723, -77.065332)"
OG 24-359,Commercial,Painting,2024-10-17T12:00:00Z,3213 m street nw,"(38.905345499999996, -77.06340050144713)"
OG 24-356,Residence,"Replace stair treads, risers, and railing; install window railings; lantern replacement",2024-10-17T12:00:00Z,3017 o street nw,"(38.90876075, -77.05989343179314)"
OG 24-353,Residence,"Replace metal roof, flashing, gutters, and downspouts and add skylights",2024-10-17T12:00:00Z,2809 o street nw,"(38.9086425, -77.05753909660552)"
OG 24-351,Epiphany,"New elevator, exterior door, and changes to front steps",2024-10-17T12:00:00Z,2714 dumbarton street nw,"(38.907621233381896, -77.05611200824119)"
OG 24-350,Residence,"New rear bay, repair/replace siding and windows, fenestration alterations, site work",2024-10-17T12:00:00Z,2701 dumbarton street nw,"(38.90784465, -77.05595106975214)"
OG 24-346,Residence,"New automated gates at driveway, landscaping, and fence repair",2024-10-17T12:00:00Z,1524 29th street nw,"(38.9099684, -77.05842307558771)"
OG 24-345,Commercial,Retroactive removal of ATM and depository and installation of two windows,2024-10-17T12:00:00Z,1365 wisconsin avenue,"(38.90825305, -77.06361459128247)"
OG 24-344,Residence,Install temporary stair lift,2024-10-17T12:00:00Z,1316 30th street nw,"(38.9074368, -77.05942936896139)"
OG 24-343,Commercial,Modifications to existing row house for hotel use,2024-10-17T12:00:00Z,1031 31st street nw,"(38.903480650000006, -77.06091817573699)"
OG 24-324,Residence,Construction of new garage on property of Scott-Grant House - Bldg 6,2024-10-17T12:00:00Z,3233 reservoir road nw,"(38.912658837894405, -77.06524745895037)"
OG 24-321,Commercial,Signage - Arc'teryx,2024-10-17T12:00:00Z,3218 m street nw,"(38.90497225, -77.06350292155983)"
OG 24-310,Residence,Rooftop solar panels,2024-10-17T12:00:00Z,1623 35th street nw,"(38.911429049999995, -77.06893435713755)"
OG 24-307,Mixed-use,"Awnings, retroactive approval - Generation Tux",2024-10-17T12:00:00Z,1517 wisconsin avenue nw,"(38.909734, -77.06428872320167)"
OG 24-306,Commercial,Rooftop solar panels,2024-10-17T12:00:00Z,1512 wisconsin avenue nw,"(38.909182900000005, -77.0644835552369)"
OG 24-301,Commercial,"Signage, retroactive approval - M.M. Lafleur",2024-10-17T12:00:00Z,1344 wisconsin avenue nw,"(38.9077457, -77.0636713)"
OG 24-299,Commercial,Rooftop mechanical and screening and signage - Brasero & Floreria Atlantico,2024-10-17T12:00:00Z,1066 wisconsin avenue nw,"(38.9046236, -77.0630378)"
OG 24-275,Residence,"Rear addition, new garage",2024-10-17T12:00:00Z,2449 p street nw,"(38.9097189, -77.05318473800114)"
OG 24-191,Commercial,Construction of a six-story mixed-use building,2024-10-17T12:00:00Z,3000 m street nw,"(38.90505165, -77.0594734877022)"
OG 24-370,Residence,Stoop repair/replacement,2024-10-02T12:00:00Z,3068 q street nw,"(38.9102886, -77.06155096774611)"
OG 24-369,MedStar,Free-standing signs,2024-10-02T12:00:00Z,3800 reservoir road nw,"(38.9111463, -77.07534615326537)"
OG 24-368,Residence,Window replacement,2024-10-02T12:00:00Z,3551 winfield lane nw,"(38.91217245, -77.07035183895397)"
OG 24-367,Commercial,Revision to previously approved permit for alterations to entrance and signage - Onare,2024-10-02T12:00:00Z,3340 cady's alley nw,"(38.9045622, -77.0672005)"
OG 24-366,Residence,Window and door replacement; repointing,2024-10-02T12:00:00Z,3334 p street nw,"(38.908628199999995, -77.06728939764389)"
OG 24-365,Residence,Remove rear porch and replace with two-story addition; remove and replace fence segments,2024-10-02T12:00:00Z,3326 n street nw,"(38.90663055, -77.06716490823086)"
OG 24-364,Residence,Addition,2024-10-02T12:00:00Z,3306 r street nw,"(38.9134969, -77.06709888044693)"
OG 24-363,Commercial,Signage - Billy Hicks,2024-10-02T12:00:00Z,3277 m street nw,"(38.9052723, -77.065332)"
OG 24-361,Commercial,"New storefront, signage, entrances, and painting; roof terrace alteration",2024-10-02T12:00:00Z,3233-3235 m street nw,"(38.905318699999995, -77.06392412710491)"
OG 24-359,Commercial,Painting,2024-10-02T12:00:00Z,3213 m street nw,"(38.905345499999996, -77.06340050144713)"
OG 24-358,Residence,Replace existing 5' tall fence with 7' tall wood privacy fence in side and rear yards,2024-10-02T12:00:00Z,3125 p street nw,"(38.9094537, -77.06247864039912)"
OG 24-356,Residence,"Replace stair treads, risers, and railing; install window railings; lantern replacement",2024-10-02T12:00:00Z,3017 o street nw,"(38.90876075, -77.05989343179314)"
OG 24-355,Residence,Convert crawlspace into apartment unit with projections into public space,2024-10-02T12:00:00Z,2900-2902 dumbarton street nw,"(38.9075773, -77.0583993)"
OG 24-354,Residence,Replace existing shutters and shutter dogs; new rooftop condensers,2024-10-02T12:00:00Z,2812 n street nw,"(38.9067268, -77.05769467075656)"
OG 24-353,Residence,"Replace metal roof, flashing, gutters, and downspouts and add skylights",2024-10-02T12:00:00Z,2809 o street nw,"(38.9086425, -77.05753909660552)"
OG 24-352,Residence,"Replace doors, entry surround, add shutters",2024-10-02T12:00:00Z,2737 o street nw,"(38.908626, -77.05692)"
OG 24-351,Institution,"New elevator, exterior door, and changes to front steps",2024-10-02T12:00:00Z,2714 dumbarton street nw,"(38.907621233381896, -77.05611200824119)"
OG 24-350,Residence,"New rear bay, repair/replace siding and windows, fenestration alterations, site work",2024-10-02T12:00:00Z,2701 dumbarton street nw,"(38.90784465, -77.05595106975214)"
OG 24-348,Commercial,Painting; replace window and enlarge opening; various other facade alterations,2024-10-02T12:00:00Z,1815 wisconsin avenue nw,"(38.9152228, -77.0673054)"
OG 24-346,Residence,"New automated gates at driveway, landscaping, and fence repair",2024-10-02T12:00:00Z,1524 29th street nw,"(38.9099684, -77.05842307558771)"
OG 24-345,Commercial,Retroactive removal of ATM and depository and installation of two windows,2024-10-02T12:00:00Z,1365 wisconsin avenue,"(38.90825305, -77.06361459128247)"
OG 24-344,Residence,Install temporary stair lift,2024-10-02T12:00:00Z,1316 30th street nw,"(38.9074368, -77.05942936896139)"
OG 24-343,Commercial,Modifications to existing row house for hotel use,2024-10-02T12:00:00Z,1031 31st street nw,"(38.903480650000006, -77.06091817573699)"
OG 24-342,Commercial,Signage - Canal House,2024-10-02T12:00:00Z,1023-31 31st street nw,"(38.9032644, -77.060821)"
OG 24-324,Residence,Construction of new garage on property of Scott-Grant House - bldg 6,2024-10-02T12:00:00Z,3233 reservoir road nw,"(38.912658837894405, -77.06524745895037)"
OG 24-321,Commercial,Signage - Arc'teryx,2024-10-02T12:00:00Z,3218 m street nw,"(38.90497225, -77.06350292155983)"
OG 24-310,Residence,Rooftop solar panels,2024-10-02T12:00:00Z,1623 35th street nw,"(38.911429049999995, -77.06893435713755)"
OG 24-307,Mixed-use,"Awnings, retroactive approval - Generation Tux",2024-10-02T12:00:00Z,1517 wisconsin avenue nw,"(38.909734, -77.06428872320167)"
OG 24-306,Commercial,Rooftop solar panels,2024-10-02T12:00:00Z,1512 wisconsin avenue nw,"(38.909182900000005, -77.0644835552369)"
OG 24-299,Commercial,Rooftop mechanical and screening and signage - Brasero &Floreria Atlantico,2024-10-02T12:00:00Z,1066 wisconsin avenue nw,"(38.9046236, -77.0630378)"
OG 24-293,Residence,"Third story addition, renovation, landscape alterations",2024-10-02T12:00:00Z,3246 s street nw,"(38.91445915, -77.06574500536293)"
OG 24-197,Residence,Window replacement,2024-10-02T12:00:00Z,1063 thomas jefferson street nw,"(38.90445215, -77.05996534136352)"
OG 24-191,Commercial,Construction of a six-story mixed-use building,2024-10-02T12:00:00Z,3000 m street nw,"(38.90505165, -77.0594734877022)"
OG 24-275,Residence,"Rear addition, new garage",2024-10-02T12:00:00Z,2449 p street nw,"(38.9097189, -77.05318473800114)"
OG 24-341,Commercial,Signage and awnings - Farm Rio,2024-09-19T12:00:00Z,3057 m street nw,"(38.90537775, -77.06052739937704)"
OG 24-338,Residence,"New pool, gazebo, and cabana",2024-09-19T12:00:00Z,1644 avon place nw,"(38.9118622, -77.0613199)"
OG 24-336,Residence,Installation of rooftop solar array,2024-09-19T12:00:00Z,3709 winfield lane nw,"(38.91210925, -77.07246007294859)"
OG 24-335,Residence,"Replacement of existing roof, gutters, and downspouts",2024-09-19T12:00:00Z,3407 dent place nw,"(38.91184975, -77.06820285202886)"
OG 24-334,Commercial,Fabric banner sign - Onare,2024-09-19T12:00:00Z,3340 cady's alley nw,"(38.9045622, -77.0672005)"
OG 24-333,Residence,Installation of rooftop solar array,2024-09-19T12:00:00Z,3335 reservoir road nw,"(38.9128563, -77.06719455254503)"
OG 24-332,Residence,Rear addition - revisions to previously approved permit submission,2024-09-19T12:00:00Z,3327 q street nw,"(38.910933650000004, -77.0670672251506)"
OG 24-331,Commercial,Vinyl decal signage for windows and doors - Poliform,2024-09-19T12:00:00Z,3304 m street nw,"(38.9049163, -77.0662291)"
OG 24-330,Commercial,Signage - Billy Hicks,2024-09-19T12:00:00Z,3277 m street nw,"(38.9052723, -77.065332)"
OG 24-329,Commercial,Signage - Lululemon,2024-09-19T12:00:00Z,3265 m street nw,"(38.9053284, -77.06480862528693)"
OG 24-328,Residence,Rear addition,2024-09-19T12:00:00Z,3259 o street nw,"(38.9079892, -77.06567597739271)"
OG 24-326,Residence,"Repointing and exterior repairs to Scott-Grant House, acces'y bldgs, & site",2024-09-19T12:00:00Z,3238 r street nw,"(38.91345455, -77.06540032490909)"
OG 24-325,Residence,Preparatory site work for entire Scott-Grant House property,2024-09-19T12:00:00Z,3232-3238 r street nw,"(38.9135015, -77.06510428289582)"
OG 24-323,Residence,Construction of new house on property of Scott-Grant House - bldg 5,2024-09-19T12:00:00Z,3232 r street nw,"(38.9135015, -77.06510428289582)"
OG 24-322,Commercial,New signage and storefront alterations - Warby Parker,2024-09-19T12:00:00Z,3223 m street nw,"(38.905388900000005, -77.06364927695122)"
OG 24-320,Commercial,Signage - Lululemon,2024-09-19T12:00:00Z,3077 m street nw,"(38.9053736, -77.0610485)"
OG 24-319,Residence,Replace front entry door and add exterior lights,2024-09-19T12:00:00Z,3015 orchard lane nw,"(38.90993575, -77.05981447724719)"
OG 24-318,Residence,Door and window replacement on the front,2024-09-19T12:00:00Z,3008-3044 r street nw,"(38.9124133, -77.0596733)"
OG 24-317,Residence,Installation of rooftop solar array,2024-09-19T12:00:00Z,2724 poplar street nw,"(38.9089016, -77.05671142367227)"
OG 24-316,Residence,New front door,2024-09-19T12:00:00Z,2517 p street nw,"(38.909537900000004, -77.05413984843007)"
OG 24-315,Residence,Installation of 3 aluminum screens on second floor deck,2024-09-19T12:00:00Z,2514 mill road nw,"(38.9109739, -77.05404082518815)"
OG 24-314,Commercial,Signage and new light sconce - Hunter & Huntress,2024-09-19T12:00:00Z,1665 wisconsin avenue nw,"(38.912086900000006, -77.06564568918051)"
OG 24-313,Residence,Replacement shutters,2024-09-19T12:00:00Z,1665 34th street nw,"(38.9122926, -77.0676605)"
OG 24-312,Residence,Fence replacement,2024-09-19T12:00:00Z,1645 31st street nw,"(38.9117468, -77.06216092951931)"
OG 24-311,Residence,Replacement of patio doors at basement level,2024-09-19T12:00:00Z,1632 30th street nw,"(38.9115236, -77.0595382020231)"
OG 24-309,Residence,Exterior repairs,2024-09-19T12:00:00Z,1605 35th street nw,"(38.9109294, -77.0688865446617)"
OG 24-308,Residence,Replacement of rear window,2024-09-19T12:00:00Z,1532 32nd street nw,"(38.910046550000004, -77.06390959618341)"
OG 24-305,Commercial,Signage - Framebridge,2024-09-19T12:00:00Z,1506 wisconsin avenue nw,"(38.909073750000005, -77.06439009223317)"
OG 24-304,Residence,Construction of accessory structure in rear yard,2024-09-19T12:00:00Z,1423 36th street nw,"(38.908389549999995, -77.07020177195926)"
OG 24-302,Commercial,Signage - It's a Secret Med-Spa,2024-09-19T12:00:00Z,1365 wisconsin avenue nw,"(38.90825305, -77.06361459128247)"
OG 24-300,Mixed-use,Convert storefront window to recessed entry door,2024-09-19T12:00:00Z,1258 wisconsin avenue nw,"(38.906605, -77.06317283795988)"
OG 24-298,Commercial,Modifications to existing row house for hotel use,2024-09-19T12:00:00Z,1031 31st street nw,"(38.903480650000006, -77.06091817573699)"
OG 24-297,Commercial,"Alterations, site work",2024-09-19T12:00:00Z,1029 31st street nw,"(38.90344345, -77.06095608472674)"
OG 24-294,Residence,Addition and renovation; alterations to roof line,2024-09-19T12:00:00Z,3259 o street nw,"(38.9079892, -77.06567597739271)"
OG 24-288,Georgetown,Campus building signage and wayfinding,2024-09-19T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 24-265,Commercial,Signage - The Gallery,2024-09-19T12:00:00Z,1614 a wisconsin avenue nw,"(38.9435543843447, -77.07724644374058)"
OG 24-233,Residence,Solar panels and alterations to previously approved rear addition,2024-09-19T12:00:00Z,1511 30th street nw,"(38.90967835, -77.05896743086248)"
OG 24-232,Residence,Relocate electric meter to front facade,2024-09-19T12:00:00Z,3419 reservoir road nw,"(38.9128342, -77.0686593)"
OG 24-229,Residence,Move electric meter to front facade,2024-09-19T12:00:00Z,3418 dent place nw,"(38.911537800000005, -77.06853978999122)"
OG 24-227,Commercial,"Demolition, alterations, and signage - Raising Cane's",2024-09-19T12:00:00Z,3249 m street nw,"(38.9053051, -77.06439112897937)"
OG 24-209,Residence,Stoop repair/replacement,2024-09-19T12:00:00Z,3068 q street nw,"(38.9102886, -77.06155096774611)"
OG 24-164,Residence,Door and window replacement on the front,2024-09-19T12:00:00Z,3008-3044 r street nw,"(38.9124133, -77.0596733)"
OG 24-341,Commercial,Signage and awnings - Farm Rio,2024-09-05T12:00:00Z,3057 m street nw,"(38.90537775, -77.06052739937704)"
OG 24-339,Residence,Alterations to front steps and stoop,2024-09-05T12:00:00Z,3323 prospect street nw,"(38.906027, -77.06673533333333)"
OG 24-338,Residence,"New pool, gazebo, and cabana",2024-09-05T12:00:00Z,1644 avon place nw,"(38.9118622, -77.0613199)"
OG 24-336,Residence,Installation of rooftop solar array,2024-09-05T12:00:00Z,3709 winfield lane nw,"(38.91210925, -77.07246007294859)"
OG 24-335,Residence,"Replacement of existing roof, gutters, and downspouts",2024-09-05T12:00:00Z,3407 dent place nw,"(38.91184975, -77.06820285202886)"
OG 24-334,Commercial,Fabric banner sign - Onare,2024-09-05T12:00:00Z,3340 cady's alley nw,"(38.9045622, -77.0672005)"
OG 24-333,Residence,Installation of rooftop solar array,2024-09-05T12:00:00Z,3335 reservoir road nw,"(38.9128563, -77.06719455254503)"
OG 24-332,Residence,Rear addition - modifications to previously approved design,2024-09-05T12:00:00Z,3327 q street nw,"(38.910933650000004, -77.0670672251506)"
OG 24-331,Commercial,Vinyl decal signage for windows and doors - Poliform,2024-09-05T12:00:00Z,3304 m street nw,"(38.9049163, -77.0662291)"
OG 24-330,Commercial,Signage - Billy Hicks,2024-09-05T12:00:00Z,3277 m street nw,"(38.9052723, -77.065332)"
OG 24-329,Commercial,Signage - Lululemon,2024-09-05T12:00:00Z,3265 m street nw,"(38.9053284, -77.06480862528693)"
OG 24-328,Residence,Rear addition,2024-09-05T12:00:00Z,3259 o street nw,"(38.9079892, -77.06567597739271)"
OG 24-326,Residence,"Repointing and exterior repairs to Scott-Grant House, acces'y bldgs, & site",2024-09-05T12:00:00Z,3238 r street nw,"(38.91345455, -77.06540032490909)"
OG 24-325,Residence,Preparatory site work for entire Scott-Grant House property,2024-09-05T12:00:00Z,3232-3238 r street nw,"(38.9135015, -77.06510428289582)"
OG 24-324,Residence,Construction of new garage on property of Scott-Grant House - bldg 6,2024-09-05T12:00:00Z,3233 reservoir road nw,"(38.912658837894405, -77.06524745895037)"
OG 24-323,Residence,Construction of new house on property of Scott-Grant House - bldg 5,2024-09-05T12:00:00Z,3232 r street nw,"(38.9135015, -77.06510428289582)"
OG 24-322,Commercial,New signage and storefront alterations - Warby Parker,2024-09-05T12:00:00Z,3223 m street nw,"(38.905388900000005, -77.06364927695122)"
